n03,n39,41
n53,n59,41
n37,n34,41
n21,n29,41
n08,n52,41
n04,n60,41
n38,n47,41
n36,n38,40
n26,n34,40
n68,n23,40
n23,n09,39
n36,n03,39
n47,n53,39
n32,n75,38
n14,n45,38
n40,n29,38
n18,n07,38
n68,n12,37
n50,n59,37
n12,n60,37
n47,n59,36
n12,n05,36
n68,n32,36
n68,n50,36
n37,n68,36
n23,n63,36
n18,n55,35
n23,n24,35
n18,n22,35
n32,n16,35
n23,n57,35
n12,n24,34
n50,n24,34
n37,n53,34
n47,n63,34
n37,n09,34
n75,n29,33
n32,n06,33
n26,n14,33
n40,n03,33
n64,n11,33
n04,n15,33
n08,n76,33
n04,n52,33
n11,n07,33
n32,n59,32
n11,n22,32
n14,n53,32
n48,n53,32
n11,n52,32
n35,n50,32
n32,n53,31
n08,n22,31
n36,n39,31
n03,n63,31
n37,n57,31
n21,n14,31
n59,n09,30
n08,n46,30
n38,n50,30
n36,n59,30
n26,n59,30
n11,n61,30
n18,n46,30
n37,n63,30
n47,n14,30
n36,n24,29
n06,n59,29
n34,n29,29
n11,n66,29
n37,n38,29
n26,n39,29
n37,n35,29
n04,n76,29
n37,n24,28
n18,n48,28
n75,n40,28
n50,n52,28
n08,n02,28
n08,n07,28
n03,n34,28
n38,n40,28
n38,n45,28
n12,n52,28
n23,n64,28
n23,n35,28
n60,n52,27
n18,n02,27
n29,n39,27
n18,n66,27
n45,n63,27
n32,n35,27
n21,n59,27
n28,n12,27
n40,n24,27
n47,n76,27
n12,n61,27
n06,n09,27
n32,n76,27
n08,n55,26
n36,n14,26
n11,n28,26
n50,n76,26
n35,n47,26
n11,n76,26
n45,n09,26
n40,n34,26
n68,n40,26
n04,n64,26
n34,n21,25
n03,n59,25
n04,n77,25
n18,n77,25
n50,n09,25
n18,n76,25
n12,n22,25
n47,n09,25
n35,n12,25
n39,n14,25
n26,n28,25
n26,n03,25
n75,n21,25
n68,n45,25
n23,n60,25
n36,n57,25
n11,n02,24
n34,n14,24
n24,n45,24
n36,n16,24
n16,n14,24
n15,n53,24
n26,n21,24
n12,n07,24
n47,n05,24
n34,n59,23
n39,n59,23
n08,n66,23
n26,n38,23
n12,n63,23
n18,n69,23
n40,n39,23
n23,n52,23
n24,n47,23
n34,n06,23
n45,n59,23
n03,n76,23
n32,n60,23
n04,n61,23
n14,n59,22
n11,n55,22
n12,n02,22
n53,n09,22
n04,n22,22
n50,n60,22
n23,n38,22
n75,n03,22
n57,n45,22
n08,n62,22
n75,n14,22
n50,n77,21
n34,n09,21
n11,n46,21
n18,n62,21
n03,n21,21
n40,n21,21
n26,n06,21
n11,n48,21
n75,n38,21
n12,n48,21
n68,n75,21
n52,n61,21
n21,n53,21
n32,n52,21
n37,n52,21
n40,n16,21
n32,n24,20
n75,n24,20
n23,n15,20
n37,n15,20
n08,n48,20
n37,n60,20
n04,n28,20
n32,n38,20
n45,n53,20
n36,n64,20
n26,n16,20
n29,n59,20
n23,n28,20
n64,n47,20
n36,n06,19
n60,n61,19
n26,n57,19
n28,n47,19
n50,n15,19
n68,n03,19
